name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Tal der Könige;Ancient;1992;Christian Beierer;12;6.60675;314;2;4;KOSMOS
Mare Mediterraneum;Civilization;1989;Jean du Poël;12;6.52534;73;2;6;Historien Spiele Galerie (Historien Spielegalerie)
MarraCash;Economic;1996;Stefan Dorra;12;6.84341;877;3;4;KOSMOS
Twilight Imperium;Civilization;1997;Christian T. Petersen;12;6.66812;667;2;6;Fantasy Flight Games
Battlemist;Exploration;1998;Christian T. Petersen;12;5.93231;308;2;6;Fantasy Flight Games
Dragon Masters;Fantasy;1991;Ian Livingstone;12;5.69731;130;2;4;Games Workshop Ltd.
Airlines;Aviation / Flight;1990;Alan R. Moon;12;6.61065;346;2;6;ABACUSSPIELE
Giganten;Economic;1999;Wilko Manz;10;6.75663;1294;3;4;KOSMOS
Vinci;Ancient;1999;Philippe Keyaerts;14;7.13097;3712;3;6;Descartes Editeur
Air Baron;Aviation / Flight;1996;Evan Davis (I);10;6.38664;716;2;6;Avalon Hill
